company_id,city,country,full_address,zipcode,region
dahua-technology,Maidenhead,GB,"Maidenhead, 3rd Floor, Maidenhead SL6 4AY, GB",SL6 4AY,
dahua-technology,Deutschland,DE,"Monschauer Strabe 1 40549 Düsseldorf, Deutschland, DE",,
dahua-technology,Hangzhou,CN,"No.1199, Bin'an Road, Binjiang District, Hangzhou, Zhejiang 310051, CN",310051,Zhejiang
dahua-technology,Dubai,SA,"Jumeirah Lake Towers, P.O BOX 263433, Dubai, SA",,
dahua-technology,Ampliacion Granada,MX,"Oficina 1502, Plaza Carso II, Lago Zurich No. 219, col. , Ampliacion Granada, MX",,
dahua-technology,Irvine,US,"15245 Alton Pkwy, Irvine, California 92618, US",92618,California
