company_target;investment_id;company_name;company_url;deal_date;deal_type;industry
Zhejiang Dahua Technology;0;Leapmotor;https://pitchbook.com/profiles/company/222784-39;18/07/2025 2:00:00;PIPE;Automotive
Zhejiang Dahua Technology;1;Joint Venture (Softbank Group / Alat / Carrier Corporation / Tahakoum / Dahau Technology);https://pitchbook.com/profiles/company/588745-36;01/12/2024 1:00:00;Joint Venture;Machinery (B2B)
Zhejiang Dahua Technology;2;Alat AIVisio Technology;https://pitchbook.com/profiles/company/591639-58;20/02/2024 1:00:00;Joint Venture;Electronic Equipment and Instruments
Zhejiang Dahua Technology;3;Denglin Technology;https://pitchbook.com/profiles/company/434839-06;07/04/2023 2:00:00;Later Stage VC;Application Specific Semiconductors
Zhejiang Dahua Technology;4;Dahua Security;https://pitchbook.com/profiles/company/489596-05;18/01/2022 1:00:00;Merger/Acquisition;Security Services (B2B)
